iter	Passed	Remaining
576	355695	1493676
577	356362	1493271
578	357024	1492845
579	357729	1492595
580	358359	1492031
581	358965	1491370
582	359604	1490845
583	360235	1490288
584	360795	1489437
585	361355	1488587
586	361907	1487704
587	362486	1486933
588	363035	1486043
589	363605	1485235
590	364207	1484561
591	364807	1483878
592	365395	1483147
593	365986	1482430
594	366522	1481490
595	367106	1480744
596	367703	1480051
597	368286	1479304
598	368865	1478541
599	369445	1477780
600	370004	1476939
601	370669	1476520
602	371297	1475953
603	371930	1475407
604	372482	1474540
605	373089	1473889
606	373677	1473163
607	374250	1472381
608	374878	1471814
609	375449	1471022
610	376079	1470464
611	376724	1469966
612	377367	1469454
613	378060	1469142
614	378736	1468759
615	379468	1468592
616	380201	1468429
617	380906	1468155
618	381622	1467922
619	382309	1467573
620	382990	1467204
621	383652	1466760
622	384378	1466559
623	385080	1466267
624	385808	1466073
625	386618	1466187
626	387366	1466060
627	388104	1465899
628	388811	1465615
629	389501	1465267
630	390194	1464929
631	390873	1464539
632	391595	1464306
633	392338	1464151
634	393093	1464041
635	393886	1464068
636	394658	1464014
637	395398	1463841
638	396099	1463523
639	396762	1463063
640	397495	1462856
641	398226	1462643
642	398920	1462293
643	399640	1462039
644	400290	1461526
645	400937	1461002
646	401562	1460395
647	402208	1459866
648	402812	1459185
649	403436	1458579
650	404082	1458048
651	404686	1457366
652	405311	1456762
653	405914	1456078
654	406508	1455363
655	407089	1454601
656	407681	1453879
657	408271	1453147
658	408848	1452375
659	409478	1451788
660	410028	1450916
661	410601	1450129
662	411189	1449396
663	411776	1448658
664	412408	1448081
665	413001	1447367
666	413605	1446689
667	414205	1445997
668	414764	1445164
669	415323	1444334
670	415966	1443794
671	416546	1443036
672	417168	1442422
673	417758	1441699
674	418390	1441121
675	419010	1440504
676	419561	1439648
677	420154	1438935
678	420781	1438340
679	421357	1437574
680	421924	1436774
681	422505	1436022
682	423132	1435429
683	423767	1434861
684	424425	1434372
685	425055	1433789
686	425716	1433306
687	426480	1433172
688	427179	1432818
689	427892	1432510
690	428631	1432285
691	429404	1432174
692	430181	1432076
693	430891	1431751
694	431678	1431682
695	432508	1431752
696	433354	1431872
697	434244	1432136
698	435007	1431977
699	435926	1432330
700	436739	1432330
701	437529	1432254
702	438238	1431910
703	439091	1432035
704	439824	1431770
705	440612	1431677
706	441354	1431436
707	442053	1431055
708	442832	1430928
709	443584	1430716
710	444311	1430421
711	445064	1430207
712	445843	1430075
713	446655	1430046
714	447446	1429952
715	448194	1429715
716	448931	1429441
717	449694	1429251
718	450458	1429061
719	451211	1428835
720	451961	1428600
721	452690	1428295
722	453439	1428052
723	454192	1427821
724	454908	1427472
725	455617	1427099
726	456273	1426562
727	456941	1426060
728	457560	1425403
729	458224	1424888
730	458867	1424308
731	459490	1423668
732	460097	1422976
733	460744	1422407
734	461415	1421911
735	462083	1421409
736	462772	1420969
737	463406	1420359
738	464093	1419913
739	464763	1419413
740	465484	1419068
741	466149	1418552
742	466852	1418151
743	467635	1417991
744	468378	1417708
745	469192	1417641
746	470025	1417627
747	470813	1417476
748	471603	1417330
749	472404	1417213
750	473203	1417089
751	473986	1416918
752	474719	1416594
753	475455	1416277
754	476245	1416121
755	477043	1415987
756	477769	1415638
757	478520	1415358
758	479297	1415158
759	480035	1414842
760	480823	1414668
761	481598	1414459
762	482300	1414031
763	483015	1413643
