iter	TotalF1:average=Macro	MultiClass
111	0.9666459531	0.1167390924
112	0.9666971207	0.1160655775
113	0.9667223089	0.1154862563
114	0.9667739459	0.1148811544
115	0.9667514305	0.1143034561
116	0.9667813436	0.1137454089
117	0.9668055909	0.1132112583
118	0.9667799333	0.1126376667
119	0.9668007166	0.1121849801
120	0.9668605433	0.1115978228
121	0.9668340939	0.1110863406
122	0.9668444855	0.1106536616
123	0.9668462175	0.1101950177
124	0.966876601	0.1097656596
125	0.9668822669	0.109299742
126	0.9668817969	0.1088146498
127	0.9669065143	0.1083372089
128	0.9669442946	0.107931803
129	0.9669616143	0.1074608313
130	0.9669768778	0.1070553413
131	0.967045363	0.1066400755
132	0.9670527597	0.1061781664
133	0.9670710165	0.1058471239
134	0.9670796765	0.1055026292
135	0.9670688162	0.1051487808
136	0.9670866045	0.1048015372
137	0.9670918005	0.1044033244
138	0.9670982602	0.1040510777
139	0.9671173122	0.1037059513
140	0.9671363642	0.1034090412
141	0.9672621462	0.1030576578
142	0.967273006	0.1027902727
143	0.9672643459	0.1024525279
144	0.9673389606	0.1021700414
145	0.9673654083	0.1019002709
146	0.9674299612	0.1016038922
147	0.9674386214	0.10133539
148	0.9674737294	0.1010573228
149	0.967463337	0.1007996292
150	0.9674789256	0.1005360962
151	0.9675192297	0.1002570298
152	0.9675071053	0.1000039789
153	0.9675300887	0.09980710918
154	0.967526158	0.09961406205
155	0.9675600004	0.0993665853
156	0.9675803187	0.09916026735
157	0.9676176252	0.09895268315
158	0.9676089649	0.09873391347
159	0.9676406086	0.09854520871
160	0.9676228215	0.09831020014
161	0.9676502011	0.0980864265
162	0.9677018289	0.09792006861
163	0.9677230795	0.09769756329
164	0.96774433	0.09748910486
165	0.9677759732	0.09730872809
166	0.9677633832	0.09712344112
167	0.9677759732	0.09696962551
168	0.9677668475	0.0967860853
169	0.967788098	0.09663238775
170	0.9677772401	0.09645076151
171	0.9678679028	0.09629520102
172	0.9678982778	0.09615626489
173	0.9678982778	0.09598614008
174	0.9679069385	0.09584980914
175	0.9679177956	0.09571740362
176	0.967947242	0.09560686381
177	0.9679771526	0.09545833935
178	0.9680465618	0.0953209412
179	0.9680327045	0.09516699351
180	0.968055686	0.09502842676
181	0.9680539539	0.09490846678
182	0.9680470252	0.09476012479
183	0.9680435609	0.09463569782
184	0.9680539539	0.09452349801
185	0.9680890606	0.09442039716
186	0.9681207029	0.094320883
187	0.9681770587	0.09421777716
188	0.9682346837	0.09406346253
189	0.9682364159	0.09395023396
190	0.9682875749	0.09384357738
191	0.968339196	0.09372151507
192	0.968363909	0.09360989364
193	0.9683569802	0.0934589757
194	0.9683500513	0.09334994964
195	0.9683920865	0.09325391656
196	0.9683955509	0.09313263524
197	0.968431119	0.09302829646
198	0.9684569094	0.09292380789
199	0.9685384376	0.09280390101
200	0.9685356275	0.09266355253
201	0.968556221	0.09255703718
202	0.968585513	0.09246789771
203	0.9685711943	0.09235746545
204	0.9686245436	0.09225882284
205	0.9686923683	0.09212272854
206	0.9687292062	0.09203860653
207	0.9687539181	0.0919212449
208	0.9687716648	0.09184330053
209	0.9687762074	0.09175953052
210	0.968811773	0.09164649259
211	0.9687584245	0.09155624407
212	0.9687939541	0.09144668745
213	0.9688260553	0.09132189144
214	0.9688806759	0.09124069452
215	0.9689041148	0.09115599286
216	0.9689357557	0.09106928221
217	0.9689288264	0.09098539198
218	0.9689214379	0.0909010988
219	0.9689656642	0.09082818602
220	0.9690374122	0.09072879871
221	0.9690430679	0.09061378276
222	0.9691193919	0.09050013523
223	0.9691354159	0.09039714683
224	0.9691137448	0.09033462923
225	0.9691750643	0.09026931605
226	0.9691876156	0.09018737777
227	0.9692443921	0.09013409441
228	0.9692621737	0.09005491104
229	0.9692834199	0.08994529354
230	0.9693224474	0.08986454047
231	0.9692697569	0.08977701658
232	0.9692571724	0.08971212381
233	0.9692829621	0.0896485147
234	0.969334574	0.0895677912
235	0.9693666716	0.089496827
236	0.9693731759	0.08943488154
237	0.9694351491	0.08935617041
238	0.9694438111	0.08926751484
239	0.9695183992	0.08916149276
240	0.9695361797	0.08909707031
241	0.9695418333	0.08901470213
242	0.9695379122	0.08899041254
243	0.9696424056	0.08889550384
244	0.9696480586	0.08880212878
245	0.9696745007	0.08871320807
246	0.9696458704	0.08866028395
247	0.969709605	0.08860177436
248	0.9697434321	0.08852878478
249	0.9697451646	0.08848811791
250	0.9697681415	0.08840630271
251	0.9697755263	0.08831902148
252	0.9697646766	0.08826934577
253	0.9697744183	0.08820737558
254	0.9698472685	0.08811356665
255	0.9698839064	0.08804246953
256	0.9698145217	0.08799646681
